Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
2017,5,10,17.7,20.5,15,0,0,81,0,10.3,12.6,22.2,0,0,1,0,0,0,0
2017,5,11,18.3,21.6,14,0,0,80,11.94,9.8,16.1,27.8,0,0,1,0,0,1,0
2017,5,12,19.6,24.7,14,0,0,64,0,10.6,20.2,40.7,0,0,0,0,0,0,0
2017,5,13,20.1,25.7,15.4,0,0,60,0,11.3,21.9,38.9,0,0,0,0,0,0,0
2017,5,14,19.7,23.2,17,0,0,64,0,11.3,9.1,18.3,0,0,0,0,0,0,0
2017,5,15,20.1,24.2,16,0,0,64,0,11.3,11.1,20.6,0,0,0,0,0,0,0
2017,5,16,20.8,24.7,17.8,0,0,63,0,10.8,10.7,22.2,42.4,0,0,0,0,0,0
2017,5,17,20.7,25.2,17,0,0,62,0,10.5,9.1,16.5,0,0,0,0,0,0,0
2017,5,18,18.9,22.7,15,0,0,69,0.51,10.8,12.2,24.1,33.5,0,1,0,0,0,0
2017,5,19,16.8,20.7,12,0,0,60,0,10.9,17.8,31.3,0,0,0,0,0,0,0
2017,5,20,18.3,21.7,14,0,0,65,0,10.9,13.3,22.2,0,0,0,0,0,0,0
2017,5,21,18.4,22,14,0,0,78,0,10.6,16.1,27.8,0,0,0,0,0,0,0
2017,5,22,19.7,23.5,16.9,0,0,76,0,10.9,10.2,22.2,0,0,0,0,0,0,0
2017,5,23,20.5,24.2,16.9,0,0,72,0,11.1,13.1,24.1,33.5,0,0,0,0,0,0
2017,5,24,22.2,26.6,17,0,0,60,0,12.1,17.8,35.2,42.4,0,0,0,0,0,0
2017,5,25,22.2,26,18.8,0,0,62,0,11.6,18.7,35.2,0,0,0,0,0,0,0
2017,5,26,20.1,22.2,18,0,0,76,0.25,10.8,15.7,24.1,0,0,0,0,0,0,0
2017,5,27,21.1,24,19,0,0,77,0,10.3,14.8,25.9,48.2,0,0,0,0,0,0
2017,5,28,20.9,24.7,17,0,0,70,0,10.9,9.1,16.5,0,0,0,0,0,0,0
2017,5,29,21.7,25.7,17,0,0,58,0,13.4,9.6,16.5,0,0,1,0,0,0,0
2017,5,30,20.8,24.1,17.9,0,0,62,3.05,11.1,10.6,22.2,37,0,1,0,0,0,0
2017,5,31,21.1,25.1,17,0,0,62,0.25,10.8,11.9,20.6,35.2,0,0,0,0,0,0
2017,6,1,21.4,25,18,0,0,66,0,12.4,9.4,18.3,0,0,0,0,0,0,0
2017,6,2,21.6,25.2,18,0,0,75,0,11.4,13,27.8,0,0,0,0,0,0,0
2017,6,3,23.3,28.7,21,0,0,74,0,10.5,15.6,29.4,0,0,0,0,0,0,0
2017,6,4,21.1,25.2,19,0,0,75,2.03,10.8,10.7,22.2,24.1,0,1,0,0,0,0
